Technical name,Name,Original performer,monthEstablished,yearEstablished,linkToVideo,Start position,End position,Difficulty,description,descriptionEs,tips,tipsEs,recommendedPrerequisites,dateAdded,isImportant,isVariationOf
Double Hammock Roll,,,,,https://youtu.be/Ej2ocABoNC4?t=19688,BACK,BACK,3,Two Hammock Rolls in one bounce.,Dos hammok roll en un solo rebote.,,,10004,1 Jan 2022,FALSE,10004
Back Roll Twist,,,,,https://youtu.be/rWqH_51ztQA?t=3487,BACK,KOREAN,3,"While doing the second half of a Back Roll, also turn once around the line, so do a Back Roll with a Korean Roll at the end.",Esto suele ocurrir cuando se intenta hacer un Back Roll normal con un mal timing (demasiado temprano),"For some people, this happens automatically when they try a Back Roll with bad timing. If you're not one of those, try adding a Korean Roll in the second half of the Back Roll.",,,1 Jan 2022,FALSE,10047
Korean 270 Spin to Back Belly Roll,Underflip,Augustin Moinat,,2021,https://youtu.be/7kZjIAVYoyY?t=45,KOREAN,BELLY,2,Spin with one leg 270 degrees from Korean to Belly into a Back Belly Roll.,Gira como si hicieras un flowflip (sin roll) pero luego termina con un giro de vientre hacia atrás.,Be comfortable with Back Belly Rolls first; Start the spin with the intention of finishing as a Back Belly Roll.,,10006,1 Jan 2022,TRUE,
Sit to Feet,,,,,https://www.youtube.com/watch?v=rdV2Jhi6U5Y,SIT,STAND,2,"From Sit you stand up on the top of the bounce. If you don't have enough momentum, you can pull on the line with one arm.","Desde Sit te levantas en la parte superior del rebote. Si no tienes suficiente impulso, puedes tirar de la línea con un brazo.",Learning this is a lot about learning the correct timing which is doing the trick at the top of the bounce when you feel weightless.,,,1 Jan 2022,TRUE,
Korean Bounce,,,,,https://www.youtube.com/watch?v=1hPL5d3en8c,STAND,KOREAN,2,From standing on the line you let the line come towards your body on the top of the bounce and then slide your feet off the line to land in Korean.,"Desde la línea de pie, dejas que la línea se acerque a tu cuerpo en la parte superior del rebote y luego deslizas tus pies fuera de la línea para aterrizar en el coreano.",,,,1 Jan 2022,TRUE,
Chest Bounce,,,,,https://www.youtube.com/watch?v=Z11fkcCv_Qo,STAND,CHEST,2,On the way to the top of the bounce you let the line come towards your body and grab it with one hand. Slide your front foot off the line and with your hand controlling the line you drop down to chest.,En el camino hacia la cima del rebote dejas que la línea venga hacia tu cuerpo y la agarras con una mano. Desliza el pie delantero fuera de la línea y con la mano que controla la línea te dejas caer sobre el pecho.,It can help to practice briefly grabing the line at the top of the bounce while bouncing in normal to learn to let the line come to you instead of you droping down to the line.,,,1 Jan 2022,TRUE,
Soup to Feet,,,,,https://www.youtube.com/watch?v=-xz9Ex3IE-M,SOUP,STAND,2,"From Soup you stand up on the top of the bounce. If you don't have enough momentum, you can pull the line with one arm.","Desde Soup te pones de pie en la parte superior del rebote. Si no tienes suficiente impulso, puedes tirar de la línea con un brazo.",,,10184,1 Jan 2022,TRUE,
Soup Bounce,,,,,https://www.youtube.com/watch?v=-xz9Ex3IE-M,STAND,SOUP,2,From standing on the line you let the line come towards your body on the top of the bounce and sit down keeping one foot on the line.,De pie en la línea dejas que la línea venga hacia tu cuerpo en la parte superior del rebote y te sientas manteniendo uno de tus pies en la línea.,Feels like sitting down on something behind you; Don't try to grab the line in case you loose the balance; It can help to practice Korean bounces first and then Soup bounces.,,10185,1 Jan 2022,TRUE,
180 Chest Roll from Korean,Mini-Fireflip,Salomé Cholet,,2021,https://youtu.be/rWqH_51ztQA?t=14839,KOREAN,KOREAN,2,From Korean grab the line behind you and go into a Front Chest Roll. Land back in Korean looking at the other anchor.,Desde el coreano agarra la línea detrás de ti y haz un Front Chest Roll. Aterriza de nuevo en coreano mirando al otro ancla.,,,,1 Jan 2022,TRUE,
Korean 360,Flow,,,,https://www.youtube.com/watch?v=12HbVhoFloM,KOREAN,KOREAN,2,From Korean you grab the line with both hands behind you and then swing your far leg over the line twice to do a 360 landing back in Korean.,Desde el coreano agarras las manos mirando hacia el mismo lado en la línea detrás de ti y luego balanceas tu pierna más lejana sobre la línea dos veces para hacer un 360 aterrizando de nuevo en el coreano.,Practice the same movement from Sofa first (= Panic).,Es un Flowflip sin el rollo alrededor de la línea.,10225,1 Jan 2022,TRUE,
Back Sofa Roll from Korean,Back Richy Roll,Richard Schupisser,,,https://youtu.be/7kZjIAVYoyY?t=203,KOREAN,SOFA,2,From Korean let yourself fall to the side and immediately after you start the roll swing one leg over the line to finish the roll as a Back Sofa Roll.,,,,,,FALSE,10003
Petit Trick,,Salomé Cholet,Feb,2022,https://youtu.be/Nk-wk2kYRso?t=109,KOREAN,KOREAN,3,"From Korean, grab the line in front of you with both hands. Shift your weight onto your arms, swing one leg over the line and start bringing it to the front. Lean backwards, release your front hand and swing the same leg as before back over the line. Finish sitting in Korean.",,,,,,TRUE,
Backbounce Richy Roll,,,,,https://www.youtube.com/watch?v=uuFlRIMmP8M&t=199,BACK,SOFA,3,From Backbounce get back up into Korean and in one fluid motion kick one leg over the line to go into a Sofa Roll.,Desde el Backbounce vuelve a subir a korean y en un movimiento fluido patea una pierna por encima de la línea para pasar a un Sofa Roll.,Start the motion of getting up from Backbounce to Korean really early in the upward motion of the line.,,10003,1 Jan 2022,FALSE,10003
Sofa Roll 360,,Anthony Boulay,,,https://www.youtube.com/watch?v=ekkrE58S4O8,SOFA,SOFA,4,Start a Belly Roll from Sofa and add a 180 at the end.,Empieza como si hicieras un panik roll pero al final saca el culo y aterriza en Sofá.,,,10222,1 Jan 2022,TRUE,
Hammock Roll from Feet,,Augustin Moinat,,2021,,STAND,BACK,5,"Let the line come to your butt and grab it right behind your butt with one hand and then go to Backbounce, grab the second hand behind your head, hook with one foot and do a Hammock Roll. ",Rueda hacia abajo a Backbounce desde pie .,,,10004,1 Jan 2022,FALSE,10004
Back Roll Twist from Feet,Escoba Roll,Sakalomo,,2021,https://www.instagram.com/p/CMm5lqolNs4/,STAND,CHEST,-1,Do a Back Roll from Feet but with a roll around the line as well.,Haz un voltereta hacia atras  desde los Pies pero con un roll alrededor de la línea también.,,,,1 Jan 2022,FALSE,10086
Back Korean Roll BS 180,Richard Roll,Sakalomo,,2021,https://youtu.be/7yLCyoHgUS0?t=694,KOREAN,KOREAN,4,"Do a Back Korean Roll, pass the front leg over the line to be in Sofa, pass the back leg over the line to end in Korean facing the other anchor.",Haz un Rollo Coreano de Espalda pero las piernas se alejan de la línea para girar 180 y aterrizar de nuevo en coreano mirando al otro ancla.,,,,1 Jan 2022,FALSE,10170
Nevermind BS 360 to Chest,Spiral,Sakalomo,,2021,https://youtu.be/7yLCyoHgUS0?t=752,NEVERMIND,CHEST,4,Do a Nevermind up but instead of going to Feet you spin 360 backside and land in Chest.,Haz una subida de Nevermind pero en vez de ir a Pies giras 360 y aterrizas en Pecho.,,,,1 Jan 2022,FALSE,10036
Double Double Drop Knee Roll,,Davis Hermes,,2021,https://youtu.be/VP49hErTqM0?t=125,DOUBLE DROP KNEE,DOUBLE DROP KNEE,-1,Double Roll in Double Drop Knee.,Doble rodillo en la rodilla de doble caída.,,,,1 Jan 2022,FALSE,10281
Inward Drop Knee Spin to Front Sofa Roll,,Davis Hermes,,2021,https://youtu.be/VP49hErTqM0?t=97,INWARD DROP KNEE,SOFA,-1,"Start from Inward Drop Knee, take the front foot off the line to spin 270 to go into a Front Sofa Roll.",Comienza desde la rodilla caída hacia adentro y gira 270 para entrar en un rollo de sofá frontal.,,,,1 Jan 2022,FALSE,10005
Sick Nasty to Chest,Nasty Chest,Eli Ellis,,2020,https://www.instagram.com/p/CJeCTdHBaUn/,SOFA,CHEST,3,Sick Nasty landing in Chest.,Sick Nasty aterrizando en el pecho.,,,,1 Jan 2022,FALSE,10044
Sick Nasty to Chest Roll,Nasty Chest Roll,Eli Ellis,,2020,https://www.instagram.com/p/CJeCTdHBaUn/,SOFA,CHEST,4,Sick Nasty to Chest Roll.,Rollo de la enfermedad en el pecho.,,,,1 Jan 2022,FALSE,10044
Half Back Roll,,Guillaume Fontaine,,2017,https://www.youtube.com/watch?v=O_E_2cB0Pcw&t=4,BACK,SHOULDER,4,From Backbounce do a Back Roll but stop in Shoulderstand.,Desde el Backbounce haz un Back Roll pero detente en el Shoulderstand.,,,10047,1 Jan 2022,FALSE,10047
FS 360 to Chest,Dirty Bastard,Ian Eisenberg,,2021,https://www.youtube.com/watch?v=A8O3iGYGPPk&t=39,STAND,CHEST,4,From standing do a 360 spin and land in Chest.,Desde la posición de pie se gira 360 y se aterriza en Pecho.,,,,1 Jan 2022,FALSE,10228
Antihero,,Ian Eisenberg,,2020,https://youtu.be/V0fMaONFvVY,ROCKET,SOFA,4,"Starting from Rocket, initiate a frontflip motion and let go of one hand, bring both legs over the line to land in Sofa.",Antihéroe pero aterrizando en Sofá.,,,,1 Jan 2022,TRUE,
NH Korean Roll from Feet,California Roll,Ian Eisenberg,,2020,https://youtu.be/T27UrrWAr7A,STAND,KOREAN,-1,From standing let the line come to your kneepit and roll to the side landing in Korean.,Desde la posición de pie deja que la línea llegue a tu rodilla y rueda hacia el lado aterrizando en coreano.,,,,1 Jan 2022,FALSE,10114
Rocket Mount to Sofa,,Samuel Volery,,2017,https://youtu.be/hsALSrUdryU?t=73,ROCKET,SOFA,4,From Rocket pull yourself up and then swing the legs over the line in a Sick Nasty motion. You have to let go off the line with one hand so your legs can pass to land in Sofa. Alternatively you can also thread both legs in between your arms and the line to go to Sofa.,Desde la mosca colgante hasta el sofá.,,,,1 Jan 2022,FALSE,10067
Triple Hammock Roll,,Tlaloc Moctezuma-Burns,,2020,https://www.youtube.com/watch?v=Se5XNo0RSP8&t=557,BACK,BACK,-1,Three Hammock Rolls in one bounce.,Tres rollos de hamaca en un solo rebote.,,,,1 Jan 2022,FALSE,10004
Back Roll from Back to Back,Back Magic,,,,https://www.youtube.com/watch?v=-HEZdGIakVQ,BACK,BACK,3,Back Roll directly into Backbounce.,Rollo de espalda directamente en Backbounce.,,,10047,1 Jan 2022,FALSE,10047
Back Roll from Back,,,,,https://youtu.be/9pi0GYhBvdo?t=13,BACK,KOREAN,2,Choose a shoulder that you will roll over to do this trick and put the leash on the side of this shoulder. From Backbounce wait until you are at the very top of the bounce and then pull yourself back over the shoulder and land in Korean.,Desde el Backbounce tira hacia atrás por encima del hombro y aterriza en coreano.,Have the leash on the same side as the shoulder you roll over.,Tenga la correa en el mismo lado que el hombro sobre el que rueda.,,1 Jan 2022,TRUE,
Half Front Roll,,,,,,SHOULDER,KOREAN,3,"Arrange the leash such that it's hanging down on the side of the shoulder that you are doing the shoulderstand from. Start with the shoulderstand and wait until you're at the top of the bounce. Then push yourself to the front by pushing with your hands off of the line, roll over your back and finish the trick by landing in Korean.",Desde la parada de hombros rueda sobre tu espalda para aterrizar en coreano.,If you are on the right shoulder try to thread your right arm through the leash so you don't end up with the leash stuck on your shoulder.;Often you will slightly overrotate this trick and it can help to grab with both hands in front of you to stop the momentum.,"Si está en el hombro derecho, intente pasar el brazo derecho por la correa para no acabar con la correa atascada en el hombro.",,1 Jan 2022,TRUE,
Makako,,Sakalomo,,2021,https://youtu.be/44gWgvZrso4,NEVERMIND,BELLY,3,"Hang in Nevermind, thread the leg that is free through your leg and the closer arm and kick through to go to a Back Belly Roll.",Colócate en Nevermind pero con las manos opuestas. Enhebra la pierna que está libre a través de tu pierna y el brazo más cercano y da una patada para pasar a Back Belly Roll.,,,,1 Jan 2022,TRUE,
Belly to Feet,,,,,,BELLY,EXPOSURE,3,"From Belly lift one foot up on the line, remove the hand on the same side to help you balance and then press the line down with this foot and the other hand to get the second foot up.","Desde el vientre levanta un pie en la línea, saca la mano del mismo lado para ayudarte a equilibrar y luego presiona la línea hacia abajo con este pie y la otra mano para levantar el segundo pie.",,,,1 Jan 2022,TRUE,
Sofa to Feet,,,,,https://www.youtube.com/watch?v=_CqGa-iBrHE,SOFA,EXPOSURE,3,"From Sofa lift one foot up on the line, remove the hand on the same side to help you balance and then press the line down with this foot and the other hand to get the second foot up.","Desde el sofá levanta un pie en la línea, saca la mano del mismo lado para ayudarte a equilibrar y luego presiona la línea hacia abajo con este pie y la otra mano para levantar el segundo pie.","You might need to shift your weight to the opposite side of the foot you are trying to get onto the line; If you have access to a rodeoline with mats, this is a trick you can practice there first.",Es posible que tengas que desplazar tu peso hacia el lado opuesto del pie con el que intentas entrar en la línea.,,1 Jan 2022,TRUE,
Korean to Feet,,,,,https://www.youtube.com/watch?v=1hPL5d3en8c,KOREAN,STAND,3,From Korean you get both feet on top of the line at the same time followed by a Sit Mount in the same bounce or you put one foot on the line followed by a Soup to Feet in the same bounce.,Desde el coreano se ponen los dos pies encima de la línea. Luego haz un Sit Mount en el mismo rebote.,"Depending on your preferred variation, practice Sit to Feet or Soup to Feet first and then korean to feet will be a natural upgrade when you have the former solid enough.",Un mayor rebote te ayuda a estar de pie.,10184;10191,1 Jan 2022,TRUE,
Back to Feet,,,,,https://www.youtube.com/watch?v=MpfpSkwcqsg,BACK,STAND,3,"From Backbounce go to Korean and add a Korean to Feet in the same bounce. Alternatively, you can hook the line with one foot to assist pulling yourself up.","Desde la espalda, engancha un pie bajo la línea y desde este pie tira hasta una posición vertical. A continuación, utiliza el pie libre para ponerlo sobre la línea y ponerte de pie sobre ella. Antes de que termine el rebote desengancha el pie y ponte de pie.","Depending on your preferred variation, practice Sit to Feet or Korean to Feet first.",,10184;10181,1 Jan 2022,TRUE,
Chest to Feet,,,,,https://www.youtube.com/watch?v=Z11fkcCv_Qo,CHEST,STAND,3,From Chest you push the line down with one arm and the back foot in order to put your front foot on the line.,Desde el pecho se empuja la línea hacia abajo con un brazo y el pie trasero para poner el pie delantero en la línea.,,,,1 Jan 2022,TRUE,
Back Bounce,,,,,https://www.youtube.com/watch?v=MpfpSkwcqsg,STAND,BACK,3,"From standing on the line you let the line come towards your body on the top of the bounce and when your butt is on the line, slide your feet off the line and lean all the way back to land in Back.",De pie en la línea dejas que la línea venga hacia tu cuerpo en la parte superior del rebote y cuando tu trasero está en la línea te inclinas completamente hacia atrás y deslizas tus pies fuera de la línea para aterrizar en Back.,"Learn a Korean Bounce first, practice leaning back from Korean to Back, and then combine both motions into one bounce.",,10185,1 Jan 2022,TRUE,
Sit Bounce,,,,,https://www.youtube.com/watch?v=rdV2Jhi6U5Y,STAND,SIT,3,From standing on the line you let the line come towards your body on the top of the bounce and sit down keeping both of your feet on the line.,"De pie en la línea, dejas que la línea venga hacia tu cuerpo en la parte superior del rebote y te sientas manteniendo ambos pies en la línea.","Feels like sitting down on something behind you; Don't try to grab the line in case you loose your balance; It can help to practice Korean bounces first, then Soup bounces and then Sit bounces.",,10185;10192,1 Jan 2022,TRUE,
Sofa Bounce,,,,,https://www.youtube.com/watch?v=_CqGa-iBrHE,EXPOSURE,SOFA,3,From Exposure let the line come towards your body and grab the line with both hands then slide your feet off to land in Sofa.,"Desde la exposición deja que la línea se acerque a tu cuerpo y agarra la línea con ambas manos, luego desliza tus pies para aterrizar en Sofá.",It can help to practice briefly grabing the line at the top of the bounce while bouncing in Expo; This way you can learn to let the line come towards your butt instead of you droping down to Sofa.,,,1 Jan 2022,TRUE,
Belly Bounce,,,,,,EXPOSURE,BELLY,3,From Exposure let the line come towards your body and grab the line with both hands then slide your feet off to land in Belly.,"Desde la exposición deja que la línea se acerque a tu cuerpo y agarra la línea con ambas manos, luego desliza tus pies para aterrizar en Belly.",,,,1 Jan 2022,TRUE,
Reverse Panic Roll,,,,,,KOREAN,SOFA,3,From Korean you do a 270 BS spin to the front and then go into a Front Sofa Roll.,Desde el coreano se hace un giro hacia atrás junto con un giro hacia atrás terminando en Sofá.,,,10000,1 Jan 2022,FALSE,10000
Reverse Flowflip,Wolf Flip,,,,,KOREAN,KOREAN,4,"From Korean initiate a 360 BS spin to the front and simultaneously start a roll backwards, spin for a full 360 to land back in Korean after the roll is finished.",Desde el coreano hacer un giro de 360º hacia atrás junto con un giro hacia atrás terminando en coreano.,,,10015,1 Jan 2022,FALSE,10015
Sofa 360,,,,,,SOFA,SOFA,3,From Sofa do a 360 spin by doing a 180 to Belly and another 180 from Belly to Sofa. ,Desde Sofá agarra la línea de tu lado y luego pasando por encima de tu vientre haz un 360 aterrizando de nuevo en Sofá.,You can start by practicing the 180 from Belly to Sofa; You need to find your balance over the line and to land it you need to stick your butt out.,Para aterrizar hay que sacar el culo.,,1 Jan 2022,TRUE,
Reverse Flow,Wolf,,,,https://youtu.be/d5GTyM0ReFE?t=45,KOREAN,KOREAN,3,"From Korean, grab the line in front of you and pass one leg over the line twice (first behind you, at the end in front of you) to do a 360 spin. It is the inverse motion of a Flow.",,,,10224,,TRUE,
Reverse Panic,,,,,,KOREAN,SOFA,3,"From Korean, grab the line in front of you and pass one leg over the line to do a 270 spin landing in Sofa. It is the inverse motion of a Panic.",,,,10225,,FALSE,10278
Nevermind,,Friedi Kuehne,,2015,https://www.youtube.com/watch?v=JXLw6K-AX7I,NEVERMIND,STAND,4,"From the catch position (Nevermind), pull yourself up, put the hooking foot on top of the line, and push yourself up to put the second foot back on the line.",Desde la posición de captura (no importa) ponte de pie.,,,,1 Jan 2022,TRUE,
Sick Nasty,Flare,Samuel Volery,,2018,https://www.youtube.com/watch?v=_xAtTSwu7M8,SOFA,SOFA,4,From Sofa you grab the line next to you with both hands and swing the legs over the line and around behind you and again over the line on the other side of your hands back to Sofa.,Desde el Sofá agarras la línea que está a tu lado con ambas manos y balanceas las piernas por encima de la línea y por detrás de ti y de nuevo por encima de la línea al otro lado de tus manos de vuelta al Sofá.,,,,1 Jan 2022,TRUE,
Shoulder Roll,,Anthony Boulay,,,https://youtu.be/hsALSrUdryU?t=81,SHOULDER,SHOULDER,4,"From Shoulderstand, tuck your legs, roll to one side and extend your legs for the landing back in Shoulderstand.",Desde la postura de los hombros gira hacia un lado y vuelve a la postura de los hombros.,,,,1 Jan 2022,TRUE,
FS 360 Butt Flatspin,Butter,Tlaloc Moctezuma-Burns,,2021,https://youtu.be/RDVaUFdqMmE?t=237,SOFA,SOFA,4,In Butt grab the line with the front hand behind you. Then pull with that arm to do a 360 landing back in Sofa.,En Sofa agarra la línea detrás de ti (el brazo derecho agarra la línea a tu izquierda detrás de ti o viceversa). Luego tira con ese brazo para hacer un aterrizaje de 360 en Sofa.,,,,1 Jan 2022,TRUE,
Rocket Mount to Back Sofa Roll,,Sakalomo,,2020,https://youtu.be/n_YEN0Yva5I?t=70,ROCKET,SOFA,5,From Hanging swing your legs beside your hands (similar to a Sick Nasty movement) and go into a Back Sofa Roll.,Desde Hanging balancea tus piernas al lado de tus manos (similar a un movimiento Sick Nasty) y pasa a un Back Sofa Roll.,,,,1 Jan 2022,FALSE,10067
Belly Roll to Feet,,Enzo Fuchs,,2018,https://www.youtube.com/watch?v=qUxUNfgvoPs&t=107,BELLY,EXPOSURE,5,From Belly turn one time around the line and land in Exposure in one bounce.,Desde Belly gira una vez alrededor de la línea y aterriza en Exposure en un rebote.,,,10006,1 Jan 2022,TRUE,
Chest Roll to Front Roll,,Guillaume Fontaine,,2017,https://youtu.be/O_E_2cB0Pcw?t=40,CHEST,KOREAN,5,Start by doing a Chest Roll and then do a Front Roll by pushing with one foot off the line.,Comienza haciendo un Rollo de Pecho y luego haz un Rollo de Frente empujando con un pie fuera de la línea.,,,,1 Jan 2022,FALSE,10048
FS 360 Roll Down to Chest,,Ian Eisenberg,,2021,https://www.youtube.com/watch?v=A8O3iGYGPPk&t=86,STAND,CHEST,5,From standing do a 360 spin while doing a roll around the line and land in Chest.,Desde la posición de pie se gira 360 mientras se hace un rollo alrededor de la línea y se aterriza en Pecho.,,,,1 Jan 2022,FALSE,10228
Reverse Rocket Mount to Sofa,Rock'n'Roll,Ian Eisenberg,,2020,https://www.youtube.com/watch?v=5rGCjINEs0Q&t=39,ROCKET,SOFA,4,From Rocket do a Reverse Rocket Mount but instead of going to Feet you land in Sofa.,Desde Rocket haz un Reverse Rocket Mount pero en lugar de ir a Feet aterriza en Sofa.,,,,1 Jan 2022,TRUE,
Shrimpflip,,Ian Eisenberg,,2021,https://youtu.be/7yLCyoHgUS0?t=1501,ROCKET,ROCKET,4,"From the Rocket you kick your feet through your arms between the line and your body, regrab the line and land back in Rocket.","Desde el Cohete pateas tus pies a través de tus brazos entre la línea y tu cuerpo, vuelves a agarrar la línea y aterrizas de nuevo en el Cohete.",,,,1 Jan 2022,TRUE,
